权力分支 (Branch),核心机构 (Agency),下设部门/职位 (Department/Role),现任负责人 (Incumbent),备注 (Notes)
立法 (Legislative),国会 (Congress),参议院 (Senate),多数党领袖：约翰·图恩 (John Thune),共和党多数派 (R)
,,,参议院临时议长：根据资历推选 (通常为共和党资深参议员),
,,众议院 (House),议长：迈克·约翰逊 (Mike Johnson),共和党多数派 (R)
,,,少数党领袖：哈基姆·杰弗里斯 (Hakeem Jeffries),民主党 (D)
司法 (Judicial),联邦法院系统,最高法院 (Supreme Court),首席大法官：约翰·罗伯茨 (John Roberts),保守派倾向 6:3
,,,关键大法官：托马斯、阿利托、戈萨奇、卡瓦诺、巴雷特,
,,联邦巡回/地方法院,各级联邦法官,终身制，由总统任命
行政 (Executive),总统府 (White House),总统 (President),唐纳德·特朗普 (Donald Trump),第47任总统
,,副总统 (Vice President),J.D. 万斯 (J.D. Vance),兼任参议院议长
,,幕僚长 (Chief of Staff),苏珊·怀尔斯 (Susie Wiles),首位女性幕僚长
,内阁 (Cabinet),财政部 (Treasury),斯科特·贝森特 (Scott Bessent),"华尔街背景，主导""强美元""与关税政策"
,,国防部 (Defense),皮特·海格塞斯 (Pete Hegseth),退伍军人/前福克斯主持人
,,国务院 (State),马尔科·卢比奥 (Marco Rubio),国务卿
,,司法部 (Justice),帕姆·邦迪 (Pam Bondi),司法部长
,,商务部 (Commerce),霍华德·卢特尼克 (Howard Lutnick),负责贸易战与关税具体执行
,,卫生部 (HHS),小罗伯特·肯尼迪 (Robert F. Kennedy Jr.),"负责""让美国再次健康""计划"
,,效率部 (DOGE) 新设,埃隆·马斯克 & 维韦克·拉马斯瓦米,负责削减政府开支 (非正式内阁)
