id,name,category,description
001,立法机构,政治,美国国会（参议院与众议院），负责制定法律与预算
002,行政部门,政治,白宫及联邦政府行政机构，负责执行法律与国家管理
003,司法部门,政治,最高法院及联邦司法体系，负责法律解释与裁决
004,联邦储备,政治,联邦储备系统，负责货币政策与金融监管
005,金融资本,资本,商业银行、投资银行、对冲基金、保险与资产管理
006,科技创新,资本,大型科技公司(Big Tech)、初创企业与风险投资
007,能源与工业,资本,石油天然气、新能源、制造业与基础设施建设
008,军工复合体,资本,国防承包商、军事技术研发与航空航天企业
009,医药健康,资本,制药巨头、生物技术公司与医疗服务集团
010,传统新闻,媒体,广播电视网、有线新闻台、报纸与出版业
011,数字媒体,媒体,社交网络平台、流媒体服务与数字内容分发
012,智库研究,民间,政策研究所、思想库与政治咨询机构
013,非营利组织,民间,慈善基金会、人权组织与国际援助机构
014,高等教育,民间,常春藤盟校、研究型大学与学术圈
015,社会团体,民间,工会、行业协会、宗教团体与草根组织
