序号,中文名,英文名,头衔,所属组织,核心影响力
1,唐纳德·特朗普,Donald J. Trump,美国总统,白宫 (The White House),作为第47任总统，特朗普在2025年重返白宫后，展现出比第一任期更强的行政控制力。他利用“2024年压倒性胜利”1作为政治资本，强力推行行政命令，集中打击所谓的“深层政府”。特朗普的决策风格依然高度个人化，但他学会了如何利用像苏西·怀尔斯（Susie Wiles）这样的职业官僚来执行其意志。他在2026年的核心议程集中在通过关税重塑全球贸易流向、通过大规模驱逐非法移民重塑人口结构，以及通过能源主导政策（Energy Dominance）压低通胀。他对美联储独立性的持续施压，以及对委内瑞拉等地缘政治热点的激进干预，显示出其试图打破战后国际秩序的决心。
2,J.D. 万斯,J.D. Vance,美国副总统,白宫 (The White House),万斯不仅仅是总统的副手，他被视为“新右翼”（New Right）运动的意识形态领袖和未来的接班人。作为前俄亥俄州参议员，万斯在行政当局与国会之间扮演着关键的桥梁角色，特别是在参议院确认内阁提名人选时（如他在国防部长皮特·海格塞斯提名确认中的决定性一票）5。万斯深刻影响着政府的科技政策与贸易保护主义路线，他与硅谷右翼（如彼得·蒂尔网络）的联系使其成为连接民粹主义基数与科技资本的关键节点。他在外交政策上持有强烈的孤立主义倾向，主张减少对欧洲的承诺，转向遏制中国 6。
3,苏西·怀尔斯,Susie Wiles,白宫办公厅主任 (White House Chief of Staff),总统行政办公室,怀尔斯是特朗普政治复兴的幕后总设计师，也是美国历史上首位女性共和党办公厅主任。她以极高的纪律性和低调的作风著称，成功地将特朗普的冲动转化为可执行的政策指令。在白宫内部，她是守门人，严格控制通向总统的信息流，确保行政团队的执行力不被内部派系斗争所消耗。她的存在保证了特朗普第二任期在操作层面上的专业性，避免了第一任期初期的混乱 9。
4,马尔科·卢比奥,Marco Rubio,国务卿 (Secretary of State),美国国务院,卢比奥的任命标志着美国外交政策向强硬现实主义的彻底转变。作为一名资深的对华鹰派和拉美事务专家，卢比奥主导了美国在西半球的激进策略，包括对委内瑞拉和古巴的强硬姿态 12。他试图在“美国优先”的框架下重塑同盟关系，要求盟友承担更多防务义务，同时利用双边协议取代多边条约。他在国务院内部推动的人事清洗，旨在确保外交官队伍对特朗普议程的绝对服从 13。
5,皮特·海格塞斯,Pete Hegseth,国防部长 (Secretary of Defense),美国国防部,海格塞斯的上任是五角大楼历史上最具争议的时刻之一。作为前福克斯新闻主持人和退伍军人，他带着“反觉醒”（Anti-Woke）的使命进入国防部，致力于根除军队中的多元化、公平与包容（DEI）项目。他主张将资源集中于杀伤力和战备，推动大规模的无人机和AI武器化采购，挑战传统的军工复合体采购流程。他在参议院的艰难确认过程显示了建制派对其改革议程的恐惧，但他得到了特朗普和万斯的全力支持 5。
6,图尔西·加巴德,Tulsi Gabbard,国家情报总监 (Director of National Intelligence),国家情报总监办公室 (ODNI),加巴德的任命是对情报界建制派的直接宣战。作为前民主党人和反干涉主义者，她负责监督18个情报机构，致力于削减监控权力和重新聚焦情报优先级，从针对国内极端主义转向传统的反间谍活动。她的存在使得情报界内部充满了紧张气氛，她是特朗普清理“深层政府”情报分支的核心执行者 9。
7,约翰·拉特克利夫,John Ratcliffe,中央情报局局长 (Director of the CIA),中央情报局,拉特克利夫是特朗普最信任的情报官员之一。在CIA，他负责强化针对中国的反间谍行动，并确保情报分析不被“政治化”（即不违背白宫的叙事）。他与加巴德密切配合，构成了情报界的忠诚派双保险，确保总统获得的情报简报符合其世界观 9。
8,迈克尔·沃尔兹,Michael Waltz,美国驻联合国大使 (U.S. Ambassador to the United Nations),美国驻联合国代表团,沃尔兹（注：部分资料提及他可能担任国家安全顾问，但10确认其为驻联合国大使）在联合国这一多边舞台上扮演着“破坏者”与“重塑者”的角色。他利用这一平台强烈抨击反以色列偏见，并以此为杠杆削减美国对国际组织的资助。他清晰地传达了特朗普政府的单边主义立场：只有符合美国直接利益的国际合作才是有价值的 9。
9,斯科特·贝森特,Scott Bessent,财政部长 (Secretary of the Treasury),美国财政部,贝森特是“特朗普经济学2.0”的操盘手。作为前索罗斯基金管理公司的投资高管，他深谙全球金融市场运作。他的核心任务是管理强势美元以支持制造业回流，同时为特朗普的高关税政策提供理论和操作支持。他需要在维持市场稳定（安抚华尔街）和执行民粹主义经济政策之间走钢丝。他提出“2025年摆桌子，2026年享盛宴”的论调，暗示经济痛苦后的复苏 13。
10,帕姆·邦迪,Pam Bondi,司法部长 (Attorney General),美国司法部,邦迪不仅是首席执法官，更是特朗普法律战的先锋。在上任第一天，她就签署了14份备忘录，成立特别工作组调查所谓的“司法系统武器化”，直接针对前任特别检察官杰克·史密斯（Jack Smith）及其团队。她致力于清除司法部内的职业官僚，并重新启动联邦死刑。她是特朗普“法律复仇”议程的直接执行者 13。
