资本版图 (Sector),细分赛道 (Sub-sector),核心企业/机构 (Core Entity),关键人物 (Key Figure),2026 态势与政治经济逻辑
军工 (Defense),传统军工复合体,Lockheed Martin / RTX,吉姆·泰克雷特,"""旧卫士""。虽然面临效率部(DOGE)的审计压力，但作为""强军""基石，依然掌握主要国防预算。"
,国防科技 (Defense Tech),Anduril Industries,帕尔默·拉奇 (Palmer Luckey),"""新贵崛起""。硅谷出身的国防承包商，主打无人机与AI武器，完美契合新政府的技术审美。"
医药 (Bio-Pharma),代谢与减肥药,Eli Lilly (礼来),戴维·里克斯,"""市值之王""。凭借GLP-1药物成为美股巨头，但也面临RFK Jr. (卫生部) 对药价和慢性病源头的审查。"
,医疗保险/服务,UnitedHealth (联合健康),安德鲁·威蒂,庞大的既得利益集团，正在与政府就医疗透明化进行激烈的游说博弈。
传媒 (Media),保守派/传统媒体,Fox Corp (福克斯),拉克兰·默多克 (Lachlan Murdoch),"""喉舌""。依然是共和党基本盘的主要信息来源，与白宫保持传统盟友关系。"
,新媒体/算法媒体,X / Rumble,马斯克 / 克里斯·帕夫洛夫斯基,"""真相阵地""。逐渐取代传统媒体成为政治议程设置的核心平台，话语权极大。"
制造与地产 (Real Economy),汽车与自动化,General Motors / Ford,玛丽·巴拉,"""关税受益者""。受益于对墨/中汽车的高关税保护，但在电动化转型上被特斯拉压制。"
,商业地产/基建,Related Companies,史蒂芬·罗斯 (Stephen Ross),"""地产大亨""。特朗普的老本行圈子，期待降息周期来缓解商业地产债务危机。"
科技 (Tech),AI / 芯片 / 软件,NVIDIA / Microsoft / OpenAI,黄仁勋 / 纳德拉 / 奥特曼,"""算力霸权""。不仅是商业，更上升为国家安全战略资产。"
能源 (Energy),化石能源 / 核能,ExxonMobil / Constellation,伍兹 / 多明格斯,"""能源独立""。为AI数据中心和工业回流提供廉价能源。"
金融 (Finance),银行 / 加密货币,JPMorgan / Coinbase,戴蒙 / 阿姆斯特朗,"""美元与比特币""。法币体系与数字资产体系的融合与对抗。"
