id,name,ChineseName,dateOfBirth,gender,currentRole,organization,party,education,careerHistory,bio,sources,slug
001,Donald J. Trump,唐纳德·特朗普,1946-06-14,,美国总统,,,1968年毕业于宾夕法尼亚大学，获经济学学士学位。,美利坚合众国总统（2017–2021；2025年至今）。自1971年起担任其家族房地产企业总裁，该企业后更名为The Trump Organization。2004年至2015年期间担任真人秀节目《The Apprentice》主持人。,"唐纳德·约翰·特朗普（生于1946年6月14日）是美国政治家、媒体名人和商人，现任第47任美国总统。作为共和党成员，他此前于2017年至2021年担任第45任总统。特朗普出生于纽约市富裕家庭，1968年毕业于宾夕法尼亚大学，获经济学学士学位。1971年他接掌家族房地产业务，将其更名为特朗普集团，并将业务拓展至摩天大楼、酒店、赌场和高尔夫球场。2004年至2015年间，他主持真人秀电视节目《学徒》。以政治局外人自居的特朗普在2016年总统选举中击败民主党候选人希拉里·克林顿当选总统。

在其首个任期内，特朗普的国内政策包括对七个穆斯林占多数国家实施旅行禁令、扩建美墨边境墙、在边境执行家庭分离政策、撤销环境与商业监管法规，以及签署《减税与就业法案》。他任命了三名最高法院大法官。在外交政策方面，他带领美国退出气候（《巴黎协定》）、贸易和伊朗核问题相关协议，并发动对华贸易战。新冠疫情流行期间，他签署《冠状病毒援助、救济和经济安全法案》，但淡化了疫情严重性。在2020年总统选举中败给乔·拜登后，特朗普试图推翻选举结果，最终导致2021年1月6日国会大厦袭击事件。他于2019年因滥用职权和妨碍国会遭弹劾，2021年因煽动叛乱再遭弹劾；参议院两次均宣告其无罪。

2023年，特朗普在民事诉讼中被判对性侵和诽谤行为负有责任，并因商业欺诈被认定有责。2024年，他因34项伪造商业记录罪名成立，成为美国首位被定重罪的前总统。在2024年总统选举中击败卡玛拉·哈里斯后，他被判处免职处分，而涉及保留机密文件和妨碍2020年选举的两项重罪指控被无偏见驳回。

特朗普于2025年开始第二任期，启动联邦工作人员大规模裁员、实施高额关税并签署《宏伟美丽一揽子法案》。其政府针对政治对手和公民社会的行动已引发超过550起诉讼。他的领导风格和政治纲领常被称为“特朗普主义”，重塑了共和党格局。其诸多言论和行为被指具有种族歧视或性别歧视色彩。他发表大量虚假或误导性陈述，并宣扬阴谋论。其行动——尤其在第二任期——被描述为威权主义倾向，并导致民主倒退。学者与历史学家将其评为美国历史上最糟糕的总统之一。","[{""sourceName"": ""Wikipedia"", ""sourceUrl"": ""https://en.wikipedia.org/wiki/Donald_Trump"", ""reliability"": ""high""}]",donald-j-trump
002,J.D. Vance,J.D. 万斯,1984-08-02,男,美国副总统,051,,2009年以最高荣誉获得俄亥俄州立大学政治学与哲学文学学士学位，2013年获得耶鲁法学院法学博士学位。,2003年至2007年在美国海军陆战队服役。法学院毕业后在盛德律师事务所担任企业律师。2016年至2017年担任Mithril Capital风险投资家及负责人。2023年至2025年任俄亥俄州联邦参议员。2025年成为美国第50任副总统。,"詹姆斯·戴维·万斯，通称J.D.万斯，是美国政治人物及作家，自2025年起担任第50任美国副总统。作为共和党成员，他此前于2023年至2025年代表俄亥俄州担任联邦参议员。他于1984年8月2日出生于俄亥俄州米德尔敦，原名詹姆斯·唐纳德·鲍曼，成长于阿巴拉契亚美国文化环境中。2003年高中毕业后加入美国海军陆战队，担任战地记者并于2005年派驻伊拉克。2007年退伍后，他利用《退伍军人权利法案》进入俄亥俄州立大学学习，于2009年以最高荣誉毕业，随后于2013年获得耶鲁法学院法律博士学位。

万斯因2016年出版的回忆录《乡下人的悲歌》而闻名全国，该书被解读为描绘白人工人阶级不满情绪的著作。法学院毕业后，他曾在企业法律领域短暂工作，后转型为风险投资家，先后效力于彼得·蒂尔的米斯里尔资本公司，并联合创立纳雅资本。其政治生涯始于2022年当选联邦参议员，在获得唐纳德·特朗普支持的共和党激烈初选中胜出，并在普选中击败民主党人蒂姆·瑞安。

万斯最初曾批评特朗普参选总统，但在特朗普执政期间转变为坚定支持者。2024年总统大选中被选为特朗普竞选搭档，于就任副总统前辞去参议员职务。担任副总统期间，他同时兼任共和党全国委员会财务主席。他被描述为与""后自由主义""新右翼结盟的国家保守主义者和右翼民粹主义者，其政治纲领以反对移民、堕胎、同性婚姻、枪支管制及美国对乌克兰援助为特征。他公开批评无子女现象，并称受天主教社会训导影响，但该立场曾受到教皇方济各及其继任者批评。其副总统任内关键事件包括慕尼黑安全会议演讲及2025年特朗普-泽连斯基白宫椭圆形办公室会晤。","[{""sourceName"": ""Wikipedia"", ""sourceUrl"": ""https://en.wikipedia.org/wiki/JD_Vance"", ""reliability"": ""high""}]",jd-vance
003,Susie Wiles,苏西·怀尔斯,1957-05-14,女,白宫办公厅主任,051,,"1978年毕业于马里兰大学帕克分校。  
1975年毕业于新泽西州德马雷斯特圣天使学院。","1978年：开始在众议员Jack Kemp办公室担任接待员/助理。  
1980年代初：参与罗纳德·里根1980年总统竞选，先后任职于白宫行程安排与先遣办公室，并担任劳工部长Raymond J. Donovan的个人秘书。  
1992年：担任Tillie Fowler国会竞选活动的选区主任。  
1995-2000年：任职于杰克逊维尔市长John Delaney的行政团队，1997年起担任其幕僚长。  
2010年：担任Rick Scott州长竞选活动的竞选经理。  
2011年：短暂担任Jon Huntsman Jr.总统竞选活动的竞选经理。  
2015-2016年：担任佛罗里达州特朗普2016年总统竞选活动的佛罗里达州竞选主席，后升任竞选经理。  
2018年：受聘领导Ron DeSantis的州长竞选活动。  
2021年：被任命负责唐纳德·特朗普的筹款体系。  
2022年：被任命为特朗普2024年总统竞选活动的竞选经理。  
2025年1月：开始担任白宫幕僚长。","苏珊·L·怀尔斯（本姓萨默罗尔；1957年5月14日出生）是美国政治顾问和说客，自2025年1月起担任第32任白宫幕僚长，是该职位首位女性担任者。她出生于佛罗里达州莱克城，是前职业橄榄球运动员兼体育解说员帕特·萨默罗尔的女儿。1978年毕业于马里兰大学帕克分校。

她的政治生涯始于1978年，最初担任纽约州众议员杰克·肯普的接待员，后成为其助理。她曾为罗纳德·里根1980年总统竞选团队的日程安排办公室工作，随后进入白宫日程与先遣办公室。至1982年，她已担任劳工部长雷蒙德·J·多诺万的私人秘书。

移居佛罗里达州后，怀尔斯于1992年担任蒂莉·福勒国会竞选团队的选区主任。1995年她进入杰克逊维尔市政府，先后为市长约翰·德拉尼担任传播与政府间事务主任、副幕僚长，并于1997年至2000年成为该市首位女性幕僚长。此后她在市长约翰·佩顿的政府中担任特别倡议与传播主任。

2010年，怀尔斯担任里克·斯科特成功当选佛罗里达州州长竞选活动的竞选经理。2011年，她短暂担任乔恩·亨茨曼总统竞选团队的全国竞选经理。2015年10月，她被聘为唐纳德·特朗普2016年总统竞选团队的佛罗里达州竞选主席，后于2016年9月成为其佛罗里达州竞选经理。特朗普胜选后，她迁往华盛顿特区领导巴拉德合伙公司。2018年9月，她被聘为罗恩·德桑蒂斯竞选佛罗里达州州长的竞选团队负责人。

2021年，怀尔斯被任命领导前总统唐纳德·特朗普的筹款体系（包括“拯救美国”政治行动委员会），在其政治活动中占据主导地位。2022年11月特朗普宣布参加2024年总统竞选后，怀尔斯与克里斯·拉奇维塔共同被任命为竞选经理。随着特朗普赢得2024年大选，她被宣布任命为白宫幕僚长。","[{""sourceName"": ""Wikipedia"", ""sourceUrl"": ""https://en.wikipedia.org/wiki/Susie_Wiles"", ""reliability"": ""high""}]",susie-wiles
004,Marco Rubio,马尔科·卢比奥,1971-05-28,男,国务卿,043,,就读于迈阿密大学法学院。,西迈阿密市市委员（1990年代）。佛罗里达州众议院第111选区议员（2000-2008年），2006至2008年担任议长。佛罗里达州联邦参议员（2011-2025年）。美国国务卿（2025年至今），自2025年5月起同时兼任代理国家安全顾问和代理美国国家档案与记录管理局局长。,"马可·安东尼奥·卢比奥（Marco Antonio Rubio，1971年5月28日出生）是美国政治家、律师兼外交官，自2025年1月21日起担任第72任美国国务卿。作为共和党成员，他是首位担任该职位的拉丁裔人士。卢比奥还同时兼任代理国家安全顾问及代理美国国家档案与记录管理局局长，这一双重角色上次由亨利·基辛格担任。他被认为是美国历史上职位最高的西班牙裔官员。

卢比奥在获得迈阿密大学法学院法学博士学位后开启政治生涯。他于1998年当选西迈阿密市委员。2000年，他当选佛罗里达州众议院议员，代表第111选区。他在共和党内逐步晋升，于2006年11月成为多数党党鞭，随后担任佛罗里达州众议院议长，任期两年，直至2008年因任期限制离开州立法机构。

2010年，卢比奥当选佛罗里达州联邦参议员，于2011年就职。在参议院任职期间，他因对美国拉美政策的影响力被称为“拉美事务的虚拟国务卿”，并因在对华及中国共产党问题上立场强硬成为国会中最鹰派的成员之一，导致其于2020年受到中国政府制裁。他于2019年成为佛罗里达州资深联邦参议员，并于2022年成功连任第三届。

卢比奥于2015年启动共和党总统提名竞选，但在2016年3月佛罗里达州初选败给唐纳德·特朗普后中止竞选，随后宣布支持特朗普。2024年11月，当选总统特朗普宣布提名卢比奥担任国务卿。经参议院一致确认后，卢比奥于2025年1月21日正式就职。2025年5月1日，他额外兼任代理国家安全顾问一职。其国务卿任内曾出访并参与多项国际峰会，包括2025年沙特阿拉伯峰会、2025年阿拉斯加峰会及2025年布达佩斯峰会。","[{""sourceName"": ""Wikipedia"", ""sourceUrl"": ""https://en.wikipedia.org/wiki/Marco_Rubio"", ""reliability"": ""high""}]",marco-rubio
005,Pete Hegseth,皮特·海格塞斯,1980-06-06,男,国防部长,,,曾就读于普林斯顿大学政治学专业，2003年毕业并获得文学士学位。此前毕业于森林湖地区高中，1999年以毕业生代表身份毕业。,"2003年：被任命为明尼苏达州陆军国民警卫队步兵军官。
2006-2009年：担任“自由老兵”组织执行董事，后升任主席。
2014-2024年：在福克斯新闻频道担任《福克斯与朋友们·周末版》节目撰稿人，后成为联合主持人。
2016年：在支持唐纳德·特朗普竞选后，担任其总统顾问。
2025年：确认为第29任美国国防部长。","彼得·布莱恩·赫格塞斯（生于1980年6月6日）是美国政府官员、前电视主持人，自2025年起担任第29任美国国防部长。他出生于明尼苏达州明尼阿波利斯市，在明尼苏达州福里斯特莱克长大，1999年以高中毕业生代表身份毕业。赫格塞斯在普林斯顿大学攻读政治学，期间担任保守派学生报纸《普林斯顿保守党》的出版人兼主编，并于2003年毕业前加入预备军官训练团。

通过普林斯顿大学的预备军官训练计划，赫格塞斯被授予美国陆军少尉军衔。他曾在明尼苏达州陆军国民警卫队服役，历任关塔那摩湾拘留营11个月执勤任务、作为步兵军官派驻伊拉克并获得铜星勋章，以及2010年至2011年作为反叛乱教官在喀布尔执行阿富汗部署任务。他于2014年晋升少校，并在个人待命预备役服役至2024年1月。

结束初期军旅生涯后，赫格塞斯投身政治活动。他曾担任支持约翰·麦凯恩2008年总统竞选的""自由退伍军人""组织执行董事，后升任主席。2012年，他短暂参与明尼苏达州美国参议院共和党初选，但在党内会议失利后退出。随后他出任科赫兄弟资助的""美国关切退伍军人""组织主席。2014年成为福克斯新闻撰稿人，并在支持唐纳德·特朗普2016年竞选后担任其顾问。2017年至2024年期间，他共同主持《福克斯与朋友周末版》节目。著有《美国十字军》（2020年）和《战争中的勇士》（2024年）等多部作品。

2024年11月，当选总统特朗普提名赫格塞斯出任国防部长。其参议院确认听证会期间面临性行为不端、财务失当及酗酒等指控。当月参议院以副总统JD·万斯投出决胜票完成确认，成为美国历史上第二次由副总统决定内阁提名人选通过的案例。赫格塞斯是美国历史上第二年轻的国防部长，其任期因政府群聊记录泄露事件及加勒比海美军空袭涉嫌战争罪的指控而受到批评。","[{""sourceName"": ""Wikipedia"", ""sourceUrl"": ""https://en.wikipedia.org/wiki/Pete_Hegseth"", ""reliability"": ""high""}]",pete-hegseth
006,Tulsi Gabbard,图尔西·加巴德,1981-04-12,女,国家情报总监,,,2002年自Leeward Community College辍学。2009年毕业于Hawaii Pacific University，获工商管理理学学士学位。,"2002-2004年：夏威夷州众议院议员。  
2003年：加入夏威夷陆军国民警卫队。  
2004-2005年：以专业兵身份派驻伊拉克。  
2007年：完成军官培训后被授予少尉军衔。  
2008-2009年：在科威特担任陆军宪兵排排长。  
2013-2021年：美国众议院夏威夷州第二国会选区代表。  
2013-2016年：民主党全国委员会副主席。  
2015年：晋升为夏威夷陆军国民警卫队少校。  
2020年：转入美国陆军预备役。  
2021年：晋升为中校。  
2025年至今：第八任国家情报总监。","图尔西·加巴德（生于1981年4月12日）是美国政治人物及美军军官，自2025年起担任第八任国家情报总监。她出生于美属萨摩亚莱洛阿洛阿，幼年移居夏威夷。加巴德主要接受家庭教育，青少年时期皈依印度教。在步入政坛前，她曾短暂就读于利沃德社区学院。

加巴德的政治生涯始于2002年，时年21岁的她当选夏威夷州众议员，成为当时美国最年轻的女性州立法机构成员。她于2002年至2004年任职，后因军事部署未寻求连任。2011年至2012年，她曾担任檀香山市议会议员。

2012年，加巴德当选夏威夷州第二国会选区众议员，任期从2013年持续至2021年。她是美国国会首位萨摩亚裔及首位印度教信仰议员。任期内，她曾在众议院军事委员会和外交事务委员会任职，并于第四届任期加入众议院军事委员会情报小组委员会。她支持针对伊斯兰极端主义的军事行动，但反对美国干预叙利亚内战。加巴德原为民主党成员，2013年至2016年担任民主党全国委员会副主席，后辞职以支持伯尼·桑德斯竞选2016年民主党总统提名。

加巴德曾以反干涉主义和民粹主义纲领参加2020年总统竞选，后于2020年3月退选并支持乔·拜登。2021年离开国会后，其立场转向保守，2022年在保守派政治行动会议上发表演讲并退出民主党。2024年，她宣布支持唐纳德·特朗普竞选总统并加入共和党。

她的军旅生涯始于2003年加入夏威夷陆军国民警卫队。2004年至2005年，她作为医疗单位专业兵被派驻伊拉克，并获得战地医疗徽章。2007年完成军官培训，2008年至2009年以宪兵军官身份派驻科威特，2015年晋升少校。2020年转入美国陆军预备役，2021年晋升中校。

2025年，加巴德经参议院确认为国家情报总监，成为美国历史上最高级别的太平洋岛屿裔政府官员。","[{""sourceName"": ""Wikipedia"", ""sourceUrl"": ""https://en.wikipedia.org/wiki/Tulsi_Gabbard"", ""reliability"": ""high""}]",tulsi-gabbard
007,John Ratcliffe,约翰·拉特克利夫,1965-10-20,男,中央情报局局长,012,,1986年毕业于圣母大学，获政府与国际研究文学学士学位；1989年毕业于南卫理公会大学法学院，获法学博士学位。,"2004年前为执业律师。  
德克萨斯州希斯市市长（2004-2012年）。  
美国德克萨斯东区代理联邦检察官（2007年5月-2008年4月）。  
美国德克萨斯州第四国会选区众议员（2015-2020年）。  
国家情报总监（2020-2021年）。  
中央情报局局长（2025年至今）。","约翰·李·拉特克利夫（生于1965年10月20日）是美国政治人物与律师，自2025年起担任中央情报局（CIA）第九任局长。作为共和党成员，其职业生涯曾担任第六任国家情报总监（2020–2021），并于2015年至2020年担任德克萨斯州第四国会选区联邦众议员。

拉特克利夫出生于伊利诺伊州芒特普罗斯佩克特。他于1986年获圣母大学政府与国际研究文学士学位，1989年获南卫理公会大学法学院法学博士学位。法学院毕业后，他在私营法律机构执业至2004年。

其政治生涯始于德克萨斯州地方层面。2004年至2012年担任德克萨斯州希斯市市长。同期兼任联邦检察官职务：2004年由乔治·W·布什总统任命为美国司法部德克萨斯东区反恐与国家安全部门主任；2007年5月至2008年4月担任该区临时联邦检察官。2014年国会竞选期间，其网站宣称曾“亲自处理数十起国际与国内恐怖主义调查”并“将恐怖分子送入监狱”，但后续报道显示无证据表明其起诉过恐怖主义案件。其官方众议院传记亦称担任检察官时“单日逮捕300名非法移民”，而其他记录指出其仅承担辅助职责且实际逮捕人数远低于此数。

拉特克利夫在2014年共和党初选决选中击败连任17届的现任议员拉尔夫·霍尔后当选联邦众议员。任内被视为最保守的议员之一，曾任职于司法、国土安全、道德及情报委员会，并在网络安全与基础设施保护相关小组委员会担任领导职务。

2019年7月，唐纳德·特朗普总统宣布拟提名拉特克利夫接替丹·科茨出任国家情报总监。因共和党参议员提出质疑、前情报官员警告其可能将情报工作政治化，加之媒体报道其检察官履历存在夸大，拉特克利夫撤回提名。2020年2月特朗普再次提名，其通过确认后辞去众议员职务，于2020年5月26日宣誓就职，任职至2021年。2024年11月12日，当选总统特朗普宣布将提名其担任中央情报局局长。参议院于2025年1月23日以74票赞成、25票反对通过任命，其于当日稍晚就职。","[{""sourceName"": ""Wikipedia"", ""sourceUrl"": ""https://en.wikipedia.org/wiki/John_Ratcliffe"", ""reliability"": ""high""}]",john-ratcliffe
008,Michael Waltz,迈克尔·沃尔兹,1974-01-31,男,美国驻联合国大使,,,1996年以优异成绩毕业于弗吉尼亚军事学院，获国际研究专业文学学士学位，并被授予杰出军事毕业生荣誉。,"1996-2000年：美国陆军现役军官，后任特种部队军官。  
2000-2023年：于陆军国民警卫队服役。曾在布什政府期间担任五角大楼国防政策主任及副总统迪克·切尼的反恐顾问。  
2019-2025年：佛罗里达州第六国会选区美国众议员。  
2025年1月至5月：第29任国家安全顾问。  
2025年9月至今：第32任美国驻联合国大使。","迈克尔·乔治·格伦·沃尔兹（生于1974年1月31日）是美国政治家、外交官、商人、作家及前陆军特种部队军官。自2025年9月起，他在第二届特朗普政府任命下担任第32任美国驻联合国大使。作为共和党成员，他曾于2025年1月至5月担任第29任国家安全顾问，并于2019年至2025年担任佛罗里达州第六国会选区美国众议员。沃尔兹是首位当选国会议员的陆军特种部队士兵。

沃尔兹的军旅生涯始于1996年，当时他被任命为美国陆军装甲兵军官。他于2000年毕业于游骑兵学院和特种部队资格课程，随后在中东和非洲多次执行战斗任务。因作战表现，他荣获四枚青铜星章，其中两枚为英勇勋章。此后他在陆军国民警卫队服役，于2025年以上校军衔退役。在军旅生涯间隙，沃尔兹曾在五角大楼担任国防部长唐纳德·拉姆斯菲尔德和罗伯特·盖茨的国防政策主任，并在白宫担任副总统迪克·切尼的反恐顾问。

沃尔兹于2018年当选众议员，接替罗恩·德桑蒂斯，并在2020年、2022年和2024年以超过60%的得票率连任。在第118届国会中，他担任众议院军事委员会战备小组委员会主席。他被视为国会中对华态度最强硬的成员之一，认为中国共产党正在与美国及西方进行冷战。2021年，他因人权问题成为首位呼吁美国全面抵制2022年北京冬奥会的国会议员。

2024年大选后，当选总统特朗普宣布任命沃尔兹为国家安全顾问。他在任101天后，因据报道的群聊信息泄露事件于2025年5月辞职，并于同日被提名为美国驻联合国大使。经参议院以47比43票确认后，他于2025年9月20日宣誓就职，并于次日向联合国递交国书。","[{""sourceName"": ""Wikipedia"", ""sourceUrl"": ""https://en.wikipedia.org/wiki/Mike_Waltz"", ""reliability"": ""high""}]",michael-waltz
009,Scott Bessent,斯科特·贝森特,1962-08-21,男,财政部长,045,,1984年毕业于耶鲁大学，获政治学学士学位。,1984年从耶鲁大学毕业后，贝森特先后在布朗兄弟哈里曼银行、奥拉扬集团及Kynikos Associates担任金融职务。他于1991年加入索罗斯基金管理公司（SFM），后担任其伦敦办事处负责人，并成为1992年“黑色星期三”交易的关键人物。2000年离开SFM创立贝森特资本，后于2011年至2015年回归担任首席投资官。2015年再度离开SFM，创立对冲基金Key Square Group。在获提名并确认为第79任美国财政部长前，曾担任唐纳德·特朗普2024年竞选团队的经济顾问，于2025年1月28日正式就职。,"斯科特·肯尼斯·霍默·贝森特（生于1962年8月21日）是美国商人及政府官员，自2025年1月28日起担任第79任美国财政部长。贝森特出生于南卡罗来纳州康威市，1984年毕业于耶鲁大学，获政治学文学学士学位。其早期金融职业生涯包括在布朗兄弟哈里曼银行、沙特奥拉扬集团以及吉姆·查诺斯旗下的对冲基金Kynikos Associates任职。

贝森特显赫的投资生涯始于1991年加入索罗斯基金管理公司（SFM）。他曾担任该公司伦敦办事处负责人，并作为核心成员在1992年黑色星期三英镑危机期间为公司赚取约10亿美元利润。在短暂离开SFM期间，他创立并关闭了自己的对冲基金贝森特资本，后于2011年至2015年重返SFM担任首席投资官。2013年，他通过做空日元再次为公司实现重大收益，获利超12亿美元。2015年，他离开SFM创立全球宏观投资公司Key Square Group，并获得乔治·索罗斯20亿美元锚定投资。

贝森特的政治参与随时间推移逐步深化。他最初支持民主党候选人，曾于2000年为阿尔·戈尔举办筹款活动，并向巴拉克·奥巴马和希拉里·克林顿捐款。后期其政治立场转变，成为唐纳德·特朗普2024年总统竞选的主要捐助者及经济顾问，主持的筹款活动募集资金达数百万美元。

2024年11月22日，当选总统特朗普宣布提名贝森特担任财政部长。在2025年1月16日参议院确认听证会上，他主张延长减税政策并对中俄采取更强硬经济政策，最终于2025年1月27日以68票赞成、29票反对的结果获得参议院确认。次日由最高法院大法官布雷特·卡瓦诺主持宣誓就职，成为首位公开担任美国财政部长的同性恋者，亦是第二位获参议院确认的公开同性恋身份的内阁部长。

上任初期，他于2025年2月3日被任命为消费者金融保护局代理局长，并立即下令该机构停止所有工作。2025年2月，他受命协助建立美国主权财富基金。此外他还参与财政部内部人事决策，成功游说任命其属意的候选人担任国税局局长。","[{""sourceName"": ""Wikipedia"", ""sourceUrl"": ""https://en.wikipedia.org/wiki/Scott_Bessent"", ""reliability"": ""high""}]",scott-bessent
010,Pam Bondi,帕姆·邦迪,1965-11-17,女,司法部长,,,1987年获得佛罗里达大学刑事司法学士学位，1990年获得斯泰森大学法学院法学博士学位。,"佛罗里达州希尔斯伯勒县助理州检察官（1994–2009年）。  
当选佛罗里达州第37任总检察长（2011–2019年）。  
在唐纳德·特朗普总统首次弹劾审判期间担任其辩护律师（2020年）。  
领导美国优先政策研究所法律部门（截至2024年）。  
确认为美国第87任司法部长（2025年至今）。","帕梅拉·乔·邦迪（生于1965年11月17日）是美国律师和政治人物，自2025年起担任第87任美国司法部长。作为共和党成员，她曾于2011年至2019年担任佛罗里达州第37任司法部长。邦迪在坦帕湾地区出生并长大，1987年毕业于佛罗里达大学获得刑事司法学士学位，1990年从斯特森大学法学院获得法学博士学位，1991年取得佛罗里达州律师资格。其早期职业生涯于1994年至2009年在佛罗里达州希尔斯伯勒县担任助理州检察官和发言人，期间曾起诉包括前美国职业棒球大联盟球员德怀特·古登在内的案件，并参与马丁·安德森死亡案的相关诉讼。

2010年，邦迪当选佛罗里达州司法部长，成为该职位首位女性担任者。2014年连任后，她成为首位赢得第二个任期的共和党籍司法部长。任期内，她曾牵头多州联合诉讼试图推翻《患者保护与平价医疗法案》但未获成功。她还为禁止同性婚姻的州宪法修正案进行辩护以应对法律挑战，并声明其行动是出于对宪法的尊重而非个人立场。2018年，她与其他共和党主导的州共同提起诉讼，旨在推翻《平价医疗法案》中对已有疾病者收取更高保费的禁令。

2018年任期届满后，邦迪转入私营领域，在鲍拉德合伙公司担任注册外国代理人和说客，客户包括卡塔尔、科威特KGL KSCC公司、GEO集团、亚马逊、优步和通用汽车。2020年受特朗普政府聘用，在特朗普首次弹劾审判期间担任其辩护律师，期间曾就乌克兰问题对乔·拜登及其子亨特·拜登提出指控。截至2024年，她领导着特朗普阵营""美国优先政策研究所""的法律部门。2024年11月21日，当选总统特朗普宣布提名邦迪担任美国司法部长。2025年2月4日，美国参议院以54票赞成、46票反对通过任命，邦迪于次日宣誓就职。","[{""sourceName"": ""Wikipedia"", ""sourceUrl"": ""https://en.wikipedia.org/wiki/Pam_Bondi"", ""reliability"": ""high""}]",pam-bondi
