id,name,parentOrganization,tor,description
001,美国劳工联合会-产业工会联合会,,015,美国最大的工会联盟，代表众多产业工人的权益
002,字母表公司,,006,谷歌（Google）的母公司，全球著名的跨国科技综合企业
003,亚马逊,,006,全球领先的电子商务、云计算及人工智能科技巨头
004,美国公民自由联盟,,013,致力于捍卫个人权利和自由的非营利性法律组织
005,美国企业研究所,,012,位于华盛顿特区的著名保守派公共政策智库
006,苹果公司,,006,全球著名的消费电子、计算机软件和在线服务科技公司
007,美国银行,,005,美国第二大商业银行，提供多元化金融和投资服务
008,贝莱德,,005,全球规模最大的资产管理公司，对全球金融市场有巨大影响力
009,彭博新闻社,,010,提供全球金融数据、软件服务及商业新闻的媒体集团
010,布鲁金斯学会,,012,极具影响力的百年智库，专注于社会科学、经济与公共政策研究
011,美国进步中心,,012,致力于进步主义公共政策研究和倡导的自由派智库
012,中央情报局,,002,美国联邦政府主要的国家安全情报收集与分析机构
013,雪佛龙公司,,007,美国第二大石油公司，全球领先的综合性能源企业
014,花旗集团,,005,著名的全球性金融服务公司，核心业务涵盖银行与信贷
015,得克萨斯州沃思堡市,,002,美国得克萨斯州沃思堡市的地方政府行政机构
016,休斯敦市,,002,美国得克萨斯州休斯敦市的地方政府行政机构
017,外交关系委员会,,012,专注于国际关系和美国外交政策的独立智库及会员制组织
018,埃克森美孚,,007,美国最大的石油和天然气公司，全球能源行业的领军企业
019,联邦储备系统,,004,美国的中央银行系统，负责制定货币政策和监管金融体系
020,福克斯新闻,,010,美国收视率极高的有线电视新闻频道，以保守派观点著称
021,高盛集团,,005,全球领先的投资银行、证券交易和投资管理公司
022,传统基金会,,012,极具影响力的美国保守派智库，对公共政策制定有重要作用
023,摩根大通,,005,美国最大的银行，也是全球著名的金融服务和投资机构
024,麻省理工学院（MIT）,,014,世界顶尖的私立研究型大学，以工程技术和物理科学研究闻名
025,Meta Platforms,,011,社交媒体与科技巨头，旗下拥有Facebook、Instagram和WhatsApp
026,微软公司,,006,全球最大的软件开发商，主要产品包括Windows、Office及Azure云服务
027,摩根士丹利,,005,国际著名的金融服务公司，主营证券、资产管理和财富管理
028,全国步枪协会,,015,倡导拥枪权利的非营利性民权组织，具有强大的政治游说能力
029,纽约市长办公室,,002,美国最大城市纽约市的最高行政管理机构
030,英伟达,,006,全球图形处理器（GPU）和人工智能计算芯片的领军企业
031,行政管理和预算局,,002,协助总统编制预算并监督联邦机构绩效的行政办公部门
032,OpenAI,,006,处于人工智能前沿的研究实验室，ChatGPT的开发机构
033,计划生育协会,,013,提供生殖健康护理和性教育的非营利组织及权益倡导者
034,塞拉俱乐部,,013,美国历史最悠久、规模最大的草根环境和自然保护组织
035,南方浸信会,,015,美国最大的新教教派，在社会和文化领域具有显著影响力
036,佐治亚州,,002,美国佐治亚州的州级政府行政机构
037,美国最高法院,,003,美国联邦法院系统的最高审判机构，拥有最终司法解释权
038,《华尔街日报》,,010,侧重于财经和商业新闻的日报，具有广泛的国际影响力
039,美国农业部,,002,负责农业、林业、食品安全及农村发展的联邦行政部门
040,美国能源部,,002,负责能源政策、核安全以及核技术研发的联邦行政部门
041,美国卫生与公众服务部,,002,旨在保护公众健康并提供基本公共服务的联邦行政部门
042,美国国土安全部,,002,负责公共安全、边境管控、反恐和网络安全的联邦行政部门
043,美国国务院,,002,主管国际关系和外交事务的联邦行政部门，相当于外交部
044,美国内政部,,002,负责管理和保护联邦土地及自然资源的联邦行政部门
045,美国财政部,,002,负责管理国家财政、发行货币、征税及经济政策的联邦行政部门
046,美国众议院,,001,美国国会的下议院，代表各选区行使立法权
047,美国参议院,,001,美国国会的上议院，代表各州行使立法权并拥有人事批准权
048,联合健康集团,,009,多元化的医疗保健公司，全球收入最高的保险与健康服务企业
049,沃尔玛美国,,007,世界上最大的零售商，经营大型连锁超市和百货商店
050,富国银行,,005,美国四大银行之一，提供广泛的银行、保险和投资服务
051,白宫,,002,美国总统的官邸和主要办公场所，行政权力的象征
