id,name,ChineseName,dateOfBirth,gender,currentRole,organization,party,education,careerHistory,bio,sources,slug
P001,Donald J. Trump,唐纳德·特朗普,1946-06-14,,美国总统,O051,Republican Party,Graduated from the University of Pennsylvania in 1968 with a bachelor's degree in economics.,"President of the United States (2017–2021; since 2025). President of his family's real estate business, renamed The Trump Organization, starting in 1971. Host of the reality television show The Apprentice from 2004 to 2015.","Donald John Trump (born June 14, 1946) is an American politician, media personality, and businessman who is the 47th president of the United States. A member of the Republican Party, he previously served as the 45th president from 2017 to 2021. Born into a wealthy New York City family, Trump graduated from the University of Pennsylvania in 1968 with a bachelor's degree in economics. He became president of his family's real estate business in 1971, renamed it the Trump Organization, and expanded into skyscrapers, hotels, casinos, and golf courses. From 2004 to 2015, he hosted the reality television show The Apprentice. Presenting himself as a political outsider, Trump won the 2016 presidential election against Democratic nominee Hillary Clinton.

During his first term, Trump's domestic policies included imposing a travel ban on seven Muslim-majority countries, expanding the Mexico–United States border wall, enforcing a family separation policy on the border, rolling back environmental and business regulations, and signing the Tax Cuts and Jobs Act. He appointed three Supreme Court justices. In foreign policy, he withdrew the U.S. from agreements on climate (Paris Agreement), trade, and Iran's nuclear program, and initiated a trade war with China. He signed the CARES Act in response to the COVID-19 pandemic, which he downplayed. After losing the 2020 presidential election to Joe Biden, Trump attempted to overturn the result, culminating in the January 6 Capitol attack. He was impeached in 2019 for abuse of power and obstruction of Congress, and in 2021 for incitement of insurrection; the Senate acquitted him both times.

In 2023, Trump was found liable in civil cases for sexual abuse and defamation and for business fraud. He was found guilty in 2024 on 34 counts of falsifying business records, becoming the first U.S. president convicted of a felony. After winning the 2024 presidential election against Kamala Harris, he was sentenced to a discharge, and two felony indictments for retention of classified documents and obstruction of the 2020 election were dismissed without prejudice.

Trump began his second presidency in 2025 by initiating mass layoffs of federal workers, imposing high tariffs, and signing the One Big Beautiful Bill Act. His administration's actions, including targeting political opponents and civil society, have drawn over 550 lawsuits. His leadership style and political agenda, often called Trumpism, have reshaped the Republican Party. Many of his comments and actions have been characterized as racist or misogynistic. He has made many false or misleading statements and promotes conspiracy theories. His actions, especially in his second term, have been described as authoritarian and contributing to democratic backsliding. Scholars and historians have ranked him as one of the worst presidents in American history.","[{""sourceName"": ""Wikipedia"", ""sourceUrl"": ""https://en.wikipedia.org/wiki/Donald_Trump"", ""reliability"": ""high""}]",donald-j-trump
P002,J.D. Vance,J.D. 万斯,1984-08-02,male,美国副总统,O051,Republican Party,Earned a Bachelor of Arts summa cum laude in political science and philosophy from Ohio State University in 2009 and a Juris Doctor from Yale Law School in 2013.,Enlisted in the U.S. Marine Corps (2003-2007). Worked as a corporate lawyer at Sidley Austin after law school. Served as a venture capitalist and principal at Mithril Capital (2016-2017). Served as U.S. Senator from Ohio (2023-2025). Became the 50th Vice President of the United States in 2025.,"James David Vance, known as J.D. Vance, is an American politician and author serving as the 50th vice president of the United States since 2025. A member of the Republican Party, he previously represented Ohio in the United States Senate from 2023 to 2025. Born James Donald Bowman on August 2, 1984, in Middletown, Ohio, he was raised in an Appalachian American culture. After graduating high school in 2003, he enlisted in the U.S. Marine Corps, serving as a combat correspondent and deploying to Iraq in 2005. He left the military in 2007 and used the G.I. Bill to attend Ohio State University, graduating summa cum laude in 2009. He then earned a Juris Doctor from Yale Law School in 2013.

Vance gained national prominence with his 2016 memoir, *Hillbilly Elegy*, which was interpreted as an account of white working-class disaffection. After law school, he worked briefly in corporate law before becoming a venture capitalist, working for Peter Thiel's Mithril Capital and later co-founding Narya Capital. His political career began with his election to the U.S. Senate in 2022, winning a crowded Republican primary with Donald Trump's endorsement and defeating Democrat Tim Ryan in the general election.

Originally a critic of Trump's candidacy, Vance became a strong supporter during Trump's presidency. He was selected as Trump's running mate for the 2024 presidential election and resigned from the Senate before his inauguration as vice president. In his role as vice president, he also serves as finance chair of the Republican National Committee. Described as a national conservative and right-wing populist aligned with the ""postliberal"" New Right, his political platform is characterized by opposition to immigration, abortion, same-sex marriage, gun control, and U.S. support for Ukraine. He is an outspoken critic of childlessness and cites Catholic social teaching as an influence, though this stance has been criticized by Pope Francis and his successor. Key events during his vice presidency include the Munich Security Conference speech and the 2025 Trump-Zelenskyy Oval Office meeting.","[{""sourceName"": ""Wikipedia"", ""sourceUrl"": ""https://en.wikipedia.org/wiki/JD_Vance"", ""reliability"": ""high""}]",jd-vance
P003,Susie Wiles,苏西·怀尔斯,1957-05-14,female,白宫办公厅主任 (White House Chief of Staff),O051,,"Graduated from the University of Maryland, College Park in 1978. Also graduated from the Academy of the Holy Angels in Demarest, New Jersey in 1975.","1978: Began working for Representative Jack Kemp as a receptionist/aide. Early 1980s: Worked for Ronald Reagan's 1980 campaign, in the White House Office of Scheduling and Advance, and as personal secretary for Labor Secretary Raymond J. Donovan. 1992: District director for Tillie Fowler's congressional campaign. 1995-2000: Served in Jacksonville Mayor John Delaney's administration, becoming his chief of staff in 1997. 2010: Campaign manager for Rick Scott's gubernatorial election. 2011: Briefly campaign manager for Jon Huntsman Jr.'s presidential campaign. 2015-2016: Florida campaign chairwoman and later campaign manager for Florida for Donald Trump's 2016 presidential campaign. 2018: Hired to lead Ron DeSantis's gubernatorial campaign. 2021: Appointed to lead Donald Trump's fundraising apparatus. 2022: Named campaign manager for Trump's 2024 presidential campaign. January 2025: Began serving as White House Chief of Staff.","Susan L. Wiles (née Summerall; born May 14, 1957) is an American political consultant and lobbyist who has served as the 32nd White House Chief of Staff since January 2025, the first woman to hold the position. Born in Lake City, Florida, she is the daughter of former professional football player and sportscaster Pat Summerall. She graduated from the University of Maryland, College Park in 1978.

Her political career began in 1978 when she started working for New York Representative Jack Kemp as a receptionist and later an aide. She worked for Ronald Reagan's 1980 presidential campaign in his scheduling office and subsequently in the White House Office of Scheduling and Advance. By 1982, she had become a personal secretary for Secretary of Labor Raymond J. Donovan.

After moving to Florida, Wiles served as district director for Tillie Fowler's 1992 congressional campaign. She entered Jacksonville city government in 1995, working for Mayor John Delaney first as director of communications and intergovernmental affairs, then as deputy chief of staff, and finally becoming the city's first female chief of staff from 1997 to 2000. She later served in Mayor John Peyton's administration as chief of special initiatives and communications.

In 2010, Wiles was campaign manager for Rick Scott's successful Florida gubernatorial election. In 2011, she briefly served as national campaign manager for Jon Huntsman Jr.'s presidential campaign. In October 2015, she was hired as a Florida campaign chairwoman for Donald Trump's 2016 presidential campaign, later becoming his Florida campaign manager in September 2016. After Trump's victory, she moved to Washington, D.C., to lead Ballard Partners. In September 2018, she was hired to lead Ron DeSantis's campaign for the Florida gubernatorial election.

In 2021, Wiles was appointed to lead former President Donald Trump's fundraising apparatus, including Save America, assuming a dominant role in his political activities. After Trump announced his 2024 presidential campaign in November 2022, Wiles was named a campaign manager alongside Chris LaCivita. Following Trump's victory in the 2024 election, she was announced as his White House Chief of Staff.","[{""sourceName"": ""Wikipedia"", ""sourceUrl"": ""https://en.wikipedia.org/wiki/Susie_Wiles"", ""reliability"": ""high""}]",susie-wiles
P004,Marco Rubio,马尔科·卢比奥,1971-05-28,male,国务卿 (Secretary of State),O043,Republican Party,Attended law school at the University of Miami.,"City Commissioner for West Miami (1990s). Florida House of Representatives for the 111th district (2000-2008), serving as Speaker (2006-2008). U.S. Senator from Florida (2011-2025). U.S. Secretary of State (2025-present), also serving as Acting National Security Advisor and Acting Archivist of the United States from May 2025.","Marco Antonio Rubio (born May 28, 1971) is an American politician, attorney, and diplomat serving as the 72nd United States Secretary of State since January 21, 2025. A member of the Republican Party, he is the first Latino to hold the position. Rubio also concurrently serves as the Acting National Security Advisor and the Acting Archivist of the United States, a dual role last held by Henry Kissinger. He is considered the highest-ranking Hispanic American official in U.S. history.

Rubio began his political career after earning a Juris Doctor from the University of Miami School of Law. He was elected as a city commissioner for West Miami in 1998. In 2000, he was elected to the Florida House of Representatives, representing the 111th district. He rose through Republican ranks, becoming majority whip and later Speaker of the Florida House in November 2006, serving a two-year term until leaving the legislature in 2008 due to term limits.

In 2010, Rubio was elected to the U.S. Senate from Florida, taking office in 2011. During his Senate tenure, he was described as a ""virtual secretary of state for Latin America"" for his influence on U.S. policy toward the region and was known as one of Congress's most hawkish members regarding China and the Chinese Communist Party, resulting in Chinese government sanctions in 2020. He became Florida's senior senator in 2019 and was reelected to a third term in 2022.

Rubio launched a campaign for the Republican presidential nomination in 2015 but suspended it in March 2016 after losing the Florida primary to Donald Trump, whom he later endorsed. In November 2024, President-elect Trump announced his intention to nominate Rubio as Secretary of State. Following unanimous confirmation by the Senate, Rubio assumed the office on January 21, 2025. On May 1, 2025, he additionally assumed the role of Acting National Security Advisor. His tenure as Secretary of State has included foreign trips and summits such as the 2025 Saudi Arabia Summit, the 2025 Alaska Summit, and the 2025 Budapest Summit.","[{""sourceName"": ""Wikipedia"", ""sourceUrl"": ""https://en.wikipedia.org/wiki/Marco_Rubio"", ""reliability"": ""high""}]",marco-rubio
P005,Pete Hegseth,皮特·海格塞斯,1980-06-06,male,国防部长 (Secretary of Defense),,Republican Party,"Studied politics at Princeton University, graduating in 2003 with an Artium Baccalaureus degree. He attended Forest Lake Area High School, graduating as valedictorian in 1999.",2003: Commissioned as an infantry officer in the Minnesota Army National Guard. 2006-2009: Executive Director and later President of Vets for Freedom. 2014-2024: Contributor and later co-host of Fox & Friends Weekend on Fox News. 2016: Served as an advisor to President Donald Trump after supporting his campaign. 2025: Confirmed as the 29th United States Secretary of Defense.,"Peter Brian Hegseth (born June 6, 1980) is an American government official and former television personality who has served as the 29th United States Secretary of Defense since 2025. He was born in Minneapolis, Minnesota, and raised in Forest Lake, Minnesota, where he graduated as high school valedictorian in 1999. Hegseth studied politics at Princeton University, where he was the publisher and editor-in-chief of the conservative student newspaper, The Princeton Tory. He joined the Reserve Officers' Training Corps before graduating in 2003.

Hegseth was commissioned as a second lieutenant in the U.S. Army through Princeton's ROTC program. He served in the Minnesota Army National Guard, with assignments including an 11-month stint at the Guantanamo Bay detention camp, a deployment to Iraq as an infantry officer where he received a Bronze Star Medal, and a deployment to Afghanistan in 2010-2011 as a counterinsurgency instructor in Kabul. He was promoted to major in 2014 and served in the Individual Ready Reserve until January 2024.

Following his initial military service, Hegseth engaged in political activism. He served as executive director and later president of Vets for Freedom, an organization that supported the 2008 presidential campaign of John McCain. In 2012, he briefly entered the Republican primary for the U.S. Senate in Minnesota but withdrew after losing the party convention. He then served as president of Concerned Veterans for America, a group funded by the Koch brothers. Hegseth became a contributor to Fox News in 2014 and served as an advisor to President Donald Trump after supporting his 2016 campaign. From 2017 to 2024, he co-hosted Fox & Friends Weekend. He is the author of several books, including American Crusade (2020) and The War on Warriors (2024).

In November 2024, President-elect Trump nominated Hegseth for Secretary of Defense. His Senate confirmation hearing faced allegations of sexual misconduct, financial mismanagement, and excessive drinking. He was confirmed by the Senate that month, with Vice President JD Vance casting a tie-breaking vote, making it only the second time in U.S. history a Cabinet nominee's confirmation was decided by a vice president. Hegseth is the second-youngest Secretary of Defense in history. His tenure has drawn criticism related to a leaked government group chat and alleged war crimes concerning U.S. military strikes in the Caribbean Sea.","[{""sourceName"": ""Wikipedia"", ""sourceUrl"": ""https://en.wikipedia.org/wiki/Pete_Hegseth"", ""reliability"": ""high""}]",pete-hegseth
P006,Tulsi Gabbard,图尔西·加巴德,1981-04-12,female,国家情报总监 (Director of National Intelligence),,Republican Party,Dropped out of Leeward Community College in 2002. Graduated from Hawaii Pacific University in 2009 with a Bachelor of Science in business administration.,2002-2004: Hawaii House of Representatives. 2003: Enlisted in Hawaii Army National Guard. 2004-2005: Deployed to Iraq as a specialist. 2007: Commissioned as second lieutenant after officer training. 2008-2009: Stationed in Kuwait as Army Military Police platoon leader. 2013-2021: U.S. Representative for Hawaii's 2nd congressional district. 2013-2016: Vice-chair of the Democratic National Committee. 2015: Promoted to major in Hawaii Army National Guard. 2020: Transferred to U.S. Army Reserve. 2021: Promoted to lieutenant colonel. 2025-present: Eighth Director of National Intelligence.,"Tulsi Gabbard (born April 12, 1981) is an American politician and U.S. military officer serving as the eighth director of national intelligence (DNI) since 2025. She was born in Leloaloa, American Samoa, and moved to Hawaii as a child. Gabbard was mostly homeschooled and adopted the Hindu faith as a teenager. She briefly attended Leeward Community College before entering politics.

Gabbard's political career began in 2002 when, at age 21, she was elected to the Hawaii House of Representatives, becoming the youngest woman ever elected to a U.S. state legislature at the time. She served from 2002 to 2004 but did not seek reelection due to a military deployment. She later served on the Honolulu City Council from 2011 to 2012.

In 2012, Gabbard was elected as the U.S. Representative for Hawaii's 2nd congressional district, serving from 2013 to 2021. She was the first Samoan American and first Hindu American member of Congress. During her tenure, she served on the House Armed Services Committee and the House Foreign Affairs Committee, and in her fourth term, on the HASC Subcommittee on Intelligence. She supported military action against Islamic extremism but opposed U.S. intervention in the Syrian civil war. Gabbard was a member of the Democratic Party and served as vice-chair of the Democratic National Committee (DNC) from 2013 to 2016, resigning to endorse Bernie Sanders for the 2016 Democratic presidential nomination.

Gabbard launched a 2020 presidential campaign on an anti-interventionist and populist platform but dropped out and endorsed Joe Biden in March 2020. After leaving Congress in 2021, she took more conservative positions, spoke at the Conservative Political Action Conference (CPAC) in 2022, and left the Democratic Party. In 2024, she endorsed Donald Trump for president and joined the Republican Party.

Her military service began in 2003 when she enlisted in the Hawaii Army National Guard. She was deployed to Iraq from 2004 to 2005 as a specialist with a medical unit, receiving the Combat Medical Badge. She completed officer training in 2007, was deployed to Kuwait as a Military Police officer from 2008 to 2009, and was promoted to major in 2015. She transferred to the U.S. Army Reserve in 2020 and was promoted to lieutenant colonel in 2021.

In 2025, Gabbard was confirmed by the Senate as the Director of National Intelligence, becoming the highest-ranking Pacific Islander American government official in U.S. history.","[{""sourceName"": ""Wikipedia"", ""sourceUrl"": ""https://en.wikipedia.org/wiki/Tulsi_Gabbard"", ""reliability"": ""high""}]",tulsi-gabbard
P007,John Ratcliffe,约翰·拉特克利夫,1965-10-20,male,中央情报局局长 (Director of the CIA),O012,Republican Party,"Graduated from the University of Notre Dame in 1986 with a Bachelor of Arts in government and international studies, and from the Southern Methodist University School of Law in 1989 with a Juris Doctor.","Lawyer in private practice until 2004. Mayor of Heath, Texas (2004-2012). Acting U.S. Attorney for the Eastern District of Texas (May 2007-April 2008). U.S. Representative for Texas's 4th district (2015-2020). Director of National Intelligence (2020-2021). Director of the Central Intelligence Agency (since 2025).","John Lee Ratcliffe (born October 20, 1965) is an American politician and attorney who has served as the ninth director of the Central Intelligence Agency (CIA) since 2025. A member of the Republican Party, his career includes service as the sixth director of national intelligence (2020–2021) and as a U.S. Representative for Texas's 4th congressional district from 2015 to 2020.

Ratcliffe was born in Mount Prospect, Illinois. He earned a Bachelor of Arts in government and international studies from the University of Notre Dame in 1986 and a Juris Doctor from the Southern Methodist University School of Law in 1989. After law school, he worked in private legal practice until 2004.

His political career began locally in Texas. He served as mayor of Heath, Texas from 2004 to 2012. Concurrently, he held federal prosecutorial roles. In 2004, President George W. Bush appointed him chief of anti-terrorism and national security for the Eastern District of Texas within the U.S. Department of Justice. He served as the interim U.S. attorney for that district from May 2007 to April 2008. During his 2014 congressional campaign, his website claimed he ""personally managed dozens of international and domestic terrorism investigations"" and ""put terrorists in prison,"" though subsequent reports indicated no evidence he ever prosecuted a terrorism case. His official House biography also stated he ""arrested 300 illegal aliens in a single day"" while a prosecutor, though other accounts noted his role was supportive and the number arrested was significantly lower.

Ratcliffe was elected to the U.S. House of Representatives in 2014 after defeating 17-term incumbent Ralph Hall in a Republican primary runoff. He was regarded as one of the most conservative members during his tenure. His committee assignments included the Judiciary, Homeland Security, Ethics, and Intelligence committees, where he held subcommittee leadership roles focusing on cybersecurity and infrastructure protection.

In July 2019, President Donald Trump announced his intent to nominate Ratcliffe to replace Dan Coats as director of national intelligence. Ratcliffe withdrew after Republican senators raised concerns and former intelligence officials warned he might politicize intelligence, alongside media reports about embellishments in his prosecutorial record. Trump renominated him in February 2020; he was confirmed, resigned from the House, and was sworn in on May 26, 2020, serving until 2021. On November 12, 2024, president-elect Trump announced he would nominate Ratcliffe to be director of the CIA. The Senate confirmed him on January 23, 2025, by a vote of 74–25, and he assumed office later that day.","[{""sourceName"": ""Wikipedia"", ""sourceUrl"": ""https://en.wikipedia.org/wiki/John_Ratcliffe"", ""reliability"": ""high""}]",john-ratcliffe
P008,Michael Waltz,迈克尔·沃尔兹,1974-01-31,male,美国驻联合国大使 (U.S. Ambassador to the United Nations),,Republican Party,"Earned a Bachelor of Arts degree in international studies from the Virginia Military Institute in 1996, graduating with honors as a Distinguished Military Graduate.","1996-2000: Active duty U.S. Army officer, later Special Forces officer. 2000-2023: Served in the Army National Guard. Served in the Bush administration as a defense policy director in the Pentagon and as counterterrorism advisor to Vice President Dick Cheney. 2019-2025: U.S. Representative for Florida's 6th congressional district. January to May 2025: 29th National Security Advisor. September 2025-present: 32nd United States Ambassador to the United Nations.","Michael George Glen Waltz (born January 31, 1974) is an American politician, diplomat, businessman, author, and former Army Special Forces officer. He has served as the 32nd United States Ambassador to the United Nations since September 2025, appointed during the second Trump Administration. A member of the Republican Party, his prior roles include serving as the 29th National Security Advisor from January to May 2025 and as the U.S. Representative for Florida's 6th congressional district from 2019 to 2025. Waltz was the first Army Special Forces soldier elected to Congress.

Waltz's military career began in 1996 when he was commissioned as an armor officer in the U.S. Army. He graduated from Ranger School and the Special Forces Qualification Course in 2000, subsequently serving on active duty with multiple combat tours in the Middle East and Africa. He was decorated with four Bronze Stars for his actions, including two for valor. He later served in the Army National Guard, retiring at the rank of colonel in 2025. Between his military service, Waltz worked in the Pentagon as a defense policy director for Secretaries of Defense Donald Rumsfeld and Robert Gates and served in the White House as Vice President Dick Cheney's counterterrorism advisor.

Elected to the House of Representatives in 2018, Waltz succeeded Ron DeSantis and was re-elected in 2020, 2022, and 2024, each time with over 60% of the vote. In the 118th Congress, he chaired the House Armed Services Subcommittee on Readiness. He was considered one of Congress's most hawkish members regarding China, believing the Chinese Communist Party is in a cold war with the U.S. and the West. In 2021, he was the first member of Congress to call for a full U.S. boycott of the 2022 Beijing Winter Olympics over human rights concerns.

Following the 2024 election, President-elect Trump announced Waltz's appointment as National Security Advisor. He served for 101 days before resigning in May 2025 following reported group chat leaks. He was nominated as U.S. Ambassador to the United Nations the same day. After Senate confirmation in a 47–43 vote, he was sworn in on September 20, 2025, and presented his credentials to the UN the following day.","[{""sourceName"": ""Wikipedia"", ""sourceUrl"": ""https://en.wikipedia.org/wiki/Mike_Waltz"", ""reliability"": ""high""}]",michael-waltz
P009,Scott Bessent,斯科特·贝森特,1962-08-21,male,财政部长 (Secretary of the Treasury),O045,Democratic Party,Graduated from Yale University in 1984 with a B.A. in political science.,"After graduating from Yale in 1984, Bessent held financial positions at Brown Brothers Harriman, Olayan Group, and Kynikos Associates. He joined Soros Fund Management (SFM) in 1991, becoming head of its London office and a key figure in its Black Wednesday trade in 1992. He left SFM in 2000 to found Bessent Capital, then returned as chief investment officer from 2011 to 2015. In 2015, he left SFM to found the hedge fund Key Square Group. He served as an economic advisor to Donald Trump's 2024 campaign before being nominated and confirmed as the 79th U.S. Secretary of the Treasury, taking office on January 28, 2025.","Scott Kenneth Homer Bessent (born August 21, 1962) is an American businessman and government official serving as the 79th United States Secretary of the Treasury since January 28, 2025. Born in Conway, South Carolina, Bessent graduated from Yale University in 1984 with a Bachelor of Arts in political science. His early financial career included positions at Brown Brothers Harriman, the Olayan Group in Saudi Arabia, and the hedge fund Kynikos Associates under Jim Chanos.

Bessent's prominent investing career began in 1991 when he joined Soros Fund Management (SFM). He became head of its London office and was a leading member of the team that profited by approximately $1 billion during the 1992 Black Wednesday British pound sterling crisis. After a period away from SFM, during which he founded and closed his own hedge fund, Bessent Capital, he returned to SFM as chief investment officer from 2011 to 2015. In 2013, he made another major gain for the firm, earning over $1.2 billion by betting against the Japanese yen. In 2015, he left SFM to found the global macro investment firm Key Square Group, which received a $2 billion anchor investment from George Soros.

Bessent's involvement in politics evolved over time. He initially supported Democratic candidates, hosting a fundraiser for Al Gore in 2000 and donating to Barack Obama and Hillary Clinton. His political alignment shifted later, and he became a major donor and economic advisor to Donald Trump's 2024 presidential campaign, hosting fundraisers that raised millions of dollars.

On November 22, 2024, President-elect Trump announced his nomination of Bessent for Treasury Secretary. Following a Senate confirmation hearing on January 16, 2025, where he advocated for tax cut extensions and tougher economic policies on China and Russia, he was confirmed by the Senate on January 27, 2025, by a 68–29 vote. He was sworn in the next day by Supreme Court Justice Brett Kavanaugh, becoming the first openly gay person to lead the U.S. Treasury Department and the second openly gay Senate-confirmed Cabinet secretary.

Early in his tenure, on February 3, 2025, he was named acting director of the Consumer Financial Protection Bureau and immediately ordered the agency to halt all work. In February 2025, he was tasked with helping implement a U.S. sovereign wealth fund. He has also been involved in personnel decisions within the Treasury, successfully lobbying for his preferred pick for Commissioner of Internal Revenue.","[{""sourceName"": ""Wikipedia"", ""sourceUrl"": ""https://en.wikipedia.org/wiki/Scott_Bessent"", ""reliability"": ""high""}]",scott-bessent
P010,Pam Bondi,帕姆·邦迪,1965-11-17,female,司法部长 (Attorney General),,Republican Party,Received a BA in criminal justice from the University of Florida in 1987 and a JD from Stetson University College of Law in 1990.,"Assistant State Attorney in Hillsborough County, Florida (1994–2009). Elected as the 37th Attorney General of Florida (2011–2019). Served as a defense lawyer for President Donald Trump during his first impeachment trial (2020). Led the legal arm of the America First Policy Institute (by 2024). Confirmed as the 87th United States Attorney General (2025–present).","Pamela Jo Bondi (born November 17, 1965) is an American attorney and politician who has served as the 87th United States Attorney General since 2025. A member of the Republican Party, she previously served as the 37th Attorney General of Florida from 2011 to 2019. Born and raised in the Tampa Bay area, Bondi graduated with a BA in criminal justice from the University of Florida in 1987 and earned a JD from Stetson University College of Law in 1990. She was admitted to the Florida Bar in 1991. Her early career was spent as an assistant state attorney and spokeswoman in Hillsborough County, Florida, from 1994 to 2009, where she prosecuted cases including those against former Major League Baseball player Dwight Gooden and defendants in the Martin Anderson death case.

In 2010, Bondi was elected Attorney General of Florida, becoming the first woman to hold the position. She was re-elected in 2014, becoming the first Republican to win a second term. During her tenure, she was the lead attorney general in an unsuccessful multi-state lawsuit seeking to overturn the Patient Protection and Affordable Care Act. She also defended a state constitutional amendment banning same-sex marriage against legal challenges, stating her actions were out of respect for the constitution rather than a reflection of personal opinion. Her tenure included involvement in a 2018 lawsuit with other Republican-led states to overturn the ACA's bans on higher premiums for people with pre-existing conditions.

After being term-limited in 2018, Bondi entered private life, working as a registered foreign agent and lobbyist for Ballard Partners, representing clients including Qatar, the Kuwaiti company KGL KSCC, the GEO Group, Amazon, Uber, and General Motors. In 2020, she was hired by the Trump administration and served as one of President Donald Trump's defense lawyers during his first impeachment trial, where she made allegations concerning Joe Biden and his son Hunter Biden related to Ukraine. By 2024, she led the legal arm of the Trump-aligned America First Policy Institute. On November 21, 2024, President-elect Trump announced his intention to nominate Bondi for U.S. Attorney General. She was confirmed by the U.S. Senate in a 54–46 vote on February 4, 2025, and sworn in the next day.","[{""sourceName"": ""Wikipedia"", ""sourceUrl"": ""https://en.wikipedia.org/wiki/Pam_Bondi"", ""reliability"": ""high""}]",pam-bondi
