序号,中文名,英文名,头衔,所属组织
1,唐纳德·特朗普,Donald J. Trump,美国总统,白宫 (The White House),
2,J.D. 万斯,J.D. Vance,美国副总统,白宫 (The White House),
3,苏西·怀尔斯,Susie Wiles,白宫办公厅主任 (White House Chief of Staff),总统行政办公室
4,马尔科·卢比奥,Marco Rubio,国务卿 (Secretary of State),美国国务院
5,皮特·海格塞斯,Pete Hegseth,国防部长 (Secretary of Defense),美国国防部
6,图尔西·加巴德,Tulsi Gabbard,国家情报总监 (Director of National Intelligence),国家情报总监办公室 (ODNI),
7,约翰·拉特克利夫,John Ratcliffe,中央情报局局长 (Director of the CIA),中央情报局
8,迈克尔·沃尔兹,Michael Waltz,美国驻联合国大使 (U.S. Ambassador to the United Nations),美国驻联合国代表团
9,斯科特·贝森特,Scott Bessent,财政部长 (Secretary of the Treasury),美国财政部
10,帕姆·邦迪,Pam Bondi,司法部长 (Attorney General),美国司法部
11,拉塞尔·沃特,Russell Vought,管理与预算办公室主任 (Director of OMB),管理与预算办公室
12,霍华德·卢特尼克,Howard Lutnick,商务部长 (Secretary of Commerce),美国商务部
13,道格·伯格姆,Doug Burgum,内政部长 (Secretary of the Interior),美国内政部
14,克里斯·赖特,Chris Wright,能源部长 (Secretary of Energy),美国能源部
15,布鲁克·罗林斯,Brooke Rollins,农业部长 (Secretary of Agriculture),美国农业部
16,小罗伯特·F·肯尼迪,Robert F. Kennedy Jr.,卫生与公众服务部部长 (Secretary of HHS),美国卫生与公众服务部
17,汤姆·霍曼,Tom Homan,“边境沙皇” / 高级顾问 (Border Czar / Senior Advisor),白宫 / 国土安全部
18,克里斯蒂·诺姆,Kristi Noem,国土安全部部长 (Secretary of Homeland Security),美国国土安全部
19,埃隆·马斯克,Elon Musk,"政府效率部专员/顾问 (Commissioner, DOGE)",政府效率部 (Department of Government Efficiency - DOGE)
20,维韦克·拉马斯瓦米,Vivek Ramaswamy,"政府效率部专员/顾问 (Commissioner, DOGE)",政府效率部
21,约翰·图恩,John Thune,参议院多数党领袖 (Senate Majority Leader),美国参议院 (R-SD)
22,迈克·克拉波,Mike Crapo,"参议院财政委员会主席 (Chairman, Senate Finance Committee)",美国参议院 (R-ID)
23,蒂姆·斯科特,Tim Scott,"参议院银行、住房和城市事务委员会主席 (Chairman, Senate Banking Committee)",美国参议院 (R-SC)
24,泰德·克鲁兹,Ted Cruz,"参议院商业、科学和交通委员会主席 (Chairman, Senate Commerce Committee)",美国参议院 (R-TX)
25,罗杰·威克,Roger Wicker,"参议院军事委员会主席 (Chairman, Senate Armed Services Committee)",美国参议院 (R-MS)
